post_id,post_date,platform,content_type,campaign,category,posting_hour,followers,impressions,reach,likes,comments,shares,saves
POST00001,2025-01-01 00:00:00,Instagram,Image,Seasonal Campaign,Promotional,11,179009,259495,216756,9518.0,365,1130,2226
POST00002,2025-01-01 03:00:00,LinkedIn,Image,Special Campaign,Community,21,40563,30635,21156,869.0,9,92,142
POST00003,2025-01-01 06:00:00,Facebook,Video,Event Promotion,Event,11,488084,708783,528462,41638.0,1497,7825,9800
POST00004,2025-01-01 09:00:00,YouTube,Reel,Product Launch,Brand,7,319719,665700,407114,41376.0,1055,6227,1501
POST00005,2025-01-01 12:00:00,Instagram,Video,Educational Series,Entertainment,9,279605,581072,506782,29591.0,380,8190,9533
POST00006,2025-01-01 15:00:00,Instagram,Reel,Special Campaign,Community,15,27386,25651,20405,540.0,17,251,179
POST00007,2025-01-01 18:00:00,Instagram,Video,Community Campaign,Community,19,120244,250172,212796,14242.0,364,3487,1529
POST00008,2025-01-01 21:00:00,LinkedIn,Video,Festival Campaign,Promotional,7,79150,98456,61313,4358.0,88,172,695
POST00009,2025-01-02 00:00:00,Facebook,Reel,Festival Campaign,Brand,8,180644,270037,154917,14033.0,385,1067,865
POST00010,2025-01-02 03:00:00,Facebook,Image,Festival Campaign,Community,12,408197,195119,130344,3749.0,71,1461,1493
POST00011,2025-01-02 06:00:00,Instagram,Reel,Seasonal Campaign,Brand,19,186343,197531,144363,9657.0,241,1408,758
POST00012,2025-01-02 09:00:00,LinkedIn,Carousel,Community Campaign,Community,16,200882,248920,206810,10168.0,160,1110,2820
POST00013,2025-01-02 12:00:00,Facebook,Image,Brand Awareness,Promotional,18,477476,275899,190150,10245.0,145,2113,1307
POST00014,2025-01-02 15:00:00,Instagram,Carousel,Community Campaign,Entertainment,16,96566,81405,52464,1313.0,72,699,307
POST00015,2025-01-02 18:00:00,Instagram,Reel,Brand Awareness,Promotional,6,164210,220906,150302,14271.0,786,1549,2365
POST00016,2025-01-02 21:00:00,Instagram,Reel,Festival Campaign,Community,0,149549,329730,262551,17294.0,888,2752,4399
POST00017,2025-01-03 00:00:00,Instagram,Reel,Event Promotion,Brand,19,198441,302198,201770,19049.0,409,3187,629
POST00018,2025-01-03 03:00:00,YouTube,Reel,Event Promotion,Education,13,166718,338676,302338,15884.0,735,4727,3485
POST00019,2025-01-03 06:00:00,YouTube,Image,Special Campaign,Promotional,16,48812,40318,24644,1313.0,51,294,116
POST00020,2025-01-03 09:00:00,Instagram,Video,Brand Awareness,Brand,12,108958,113991,92741,8614.0,108,1156,1785
POST00021,2025-01-03 12:00:00,Facebook,Carousel,Festival Campaign,Promotional,1,358325,336992,254835,20497.0,1126,1181,4585
POST00022,2025-01-03 15:00:00,Instagram,Image,Community Campaign,Community,13,296772,357525,225806,15576.0,932,1858,924
POST00023,2025-01-03 18:00:00,Instagram,Text,Event Promotion,Brand,0,44486,35693,29045,491.0,22,151,688
POST00024,2025-01-03 21:00:00,Instagram,Carousel,Brand Awareness,Entertainment,4,406078,432878,305888,14190.0,306,755,7377
POST00025,2025-01-04 00:00:00,YouTube,Text,Special Campaign,Brand,6,281290,166635,131448,2331.0,87,449,1362
POST00026,2025-01-04 03:00:00,Facebook,Image,Community Campaign,Event,18,321410,201766,157738,5475.0,84,663,926
POST00027,2025-01-04 06:00:00,Instagram,Reel,Festival Campaign,Education,13,370412,677877,399083,15810.0,394,1592,2201
POST00028,2025-01-04 09:00:00,YouTube,Reel,Product Launch,Community,23,66557,82791,69875,5196.0,238,716,1502
POST00029,2025-01-04 12:00:00,YouTube,Carousel,Festival Campaign,Brand,13,236033,158052,124626,8747.0,219,1125,1632
POST00030,2025-01-04 15:00:00,Instagram,Reel,Seasonal Campaign,Community,14,228803,227778,187508,12383.0,214,1564,601
POST00031,2025-01-04 18:00:00,Facebook,Reel,Festival Campaign,Promotional,4,235330,240197,169751,14946.0,155,1624,3965
